值域:class,值域出現值,機率分配,特徵值域合計卡方值,
Good,9,0.6428571428571429,,
No,5,0.35714285714285715,,
值域:Weather,,值域卡方值,,
Cloud,4.0,10.222222222222221,
Rainy,5.0,10.04,
Sunny,5.0,11.284444444444444,
,,,31.546666666666667,
值域:Temperature,,值域卡方值,,
Hot,8.0,16.01111111111111,
Moderate,6.0,12.014814814814814,
,,,28.025925925925925,
值域:Humidity,,值域卡方值,,
High,7.0,15.4,
Normal,7.0,15.4,
,,,30.8,
值域:Wind,,值域卡方值,,
No,9.0,18.71358024691358,
Yes,5.0,11.284444444444444,
,,,29.998024691358026,
,,,,
,,,特徵卡方值,
,,,120.37061728395062,
