值域:class,值域出現值,機率分配,特徵值域合計卡方值,
Good,9,0.6428571428571429,,
No,5,0.35714285714285715,,
值域:Weather,,值域卡方值,,
Cloud,4.0,2.222222222222222,
Rainy,5.0,0.039999999999999994,
Sunny,5.0,1.2844444444444443,
,,,3.546666666666666,
值域:Temperature,,值域卡方值,,
Hot,8.0,0.011111111111111124,
Moderate,6.0,0.01481481481481477,
,,,0.025925925925925894,
值域:Humidity,,值域卡方值,,
High,7.0,1.4,
Normal,7.0,1.4,
,,,2.8,
值域:Wind,,值域卡方值,,
No,9.0,0.7135802469135799,
Yes,5.0,1.2844444444444443,
,,,1.9980246913580242,
,,,,
,,,特徵卡方值,
,,,8.370617283950615,
